Name,degree,appTotal,adminTotal,enrollTotal,percentSAT,percentACT,SAT25,SAT75,ACT25,ACT75,Std Scores,percentAdmit,adYield,tuition,tuitionTransformed,State abbreviation,geo,CoI,histoBlack,DoI,Total  current enrollment,FTEnroll,percentFT,PTEnroll,h,GDEnroll,percentUn,GDRate,freshmenAid,Percent of freshmen receiving federal student loans,Percent of freshmen receiving other loan aid,en,percentSAT2,stdScores2,percentAdmit2,adYield2,percentFT2,percentUN2,GDRate2,freshmenAid2,en2,percentUN*en,stdScore*GDRate,percentFT*freshmenAid,percentSAT*percentAdmit,percentSAT*GDRate,percentSAT*freshmenAid,percentSAT*en,stdScores*adYield,stdScores*percentFT,stdScores*percentUN,PercentAdmit*GDRate,adYield*percentUN,adYield*en,percentFT*GDRate,freshmenAid*en
Dickinson College,B,5826,2589,625,55,27,1190,1365,27,31,2410,44,24,46094,4.836951107,Pennsylvania,ME,1,0,C,2396,2356,98,40,2396,0,100,83,72,41,9,142411,3025,5808100,1936,576,9604,10000,6889,5184,20280892921,14241100,200030,7056,2420,4565,3960,7832605,57840,236180,241000,3652,2400,3417864,8134,10253592
Bowie State University,DR,3986,2063,627,86,14,810,960,17,20,1640,52,30,6971,3.665670647,Maryland,ME,0,1,S,5561,3974,71,1587,4358,1203,78,13,90,72,3,1371,7396,2689600,2704,900,5041,6084,169,8100,1879641,106938,21320,6390,4472,1118,7740,117906,49200,116440,127920,676,2340,41130,923,123390
Pennsylvania State University-Penn State Harrisburg,DR,2792,2232,628,82,5,900,1150,22,24,1930,80,28,14240,4.070891972,Pennsylvania,ME,0,0,S,4441,3329,75,1112,3577,864,81,39,75,59,12,11149,6724,3724900,6400,784,5625,6561,1521,5625,124300201,903069,75270,5625,6560,3198,6150,914218,54040,144750,156330,3120,2268,312172,2925,836175
Luther College,B,3490,2517,628,11,91,933,1248,23,29,2003,72,25,37530,4.693193441,Iowa,P,1,0,T,2466,2413,98,53,2466,0,100,67,100,68,9,48610,121,4012009,5184,625,9604,10000,4489,10000,2362932100,4861000,134201,9800,792,737,1100,534710,50075,196294,200300,4824,2500,1215250,6566,4861000
Mansfield University of Pennsylvania,M,2023,1867,629,97,14,850,1070,19,23,1760,92,34,9192,3.817552276,Pennsylvania,ME,0,0,T,2970,2477,83,493,2717,253,91,35,94,83,17,279,9409,3097600,8464,1156,6889,8281,1225,8836,77841,25389,61600,7802,8924,3395,9118,27063,59840,146080,160160,3220,3094,9486,2905,26226
Endicott College,DR,3675,2633,629,99,26,980,1160,21,25,1970,72,24,28926,4.517186903,Massachusetts,NE ,1,0,S,5029,2819,56,2210,2724,2305,54,65,94,74,18,13758,9801,3880900,5184,576,3136,2916,4225,8836,189282564,742932,128050,5264,7128,6435,9306,1362042,47280,110320,106380,4680,1296,330192,3640,1293252
University of New England,DRP,4231,3632,633,94,21,950,1150,21,26,1940,86,17,33145,4.608373188,Maine,NE ,1,0,S,6032,4961,82,1071,2653,3379,44,49,100,86,28,5499,8836,3763600,7396,289,6724,1936,2401,10000,30239001,241956,95060,8200,8084,4606,9400,516906,32980,159080,85360,4214,748,93483,4018,549900
Lafayette College,B,6766,2310,635,77,39,1180,1370,27,31,2400,34,27,44670,4.814721728,Pennsylvania,ME,1,0,S,2486,2435,98,51,2486,0,100,85,63,45,8,292362,5929,5760000,1156,729,9604,10000,7225,3969,85475539044,29236200,204000,6174,2618,6545,4851,22511874,64800,235200,240000,2890,2700,7893774,8330,18418806
Florida Southern College,M,4963,2476,635,82,60,990,1180,22,27,2020,50,26,28580,4.509214739,Florida,SE,1,0,C,2619,2283,87,336,2416,203,92,47,99,77,6,32743,6724,4080400,2500,676,7569,8464,2209,9801,1072104049,3012356,94940,8613,4100,3854,8118,2684926,52520,175740,185840,2350,2392,851318,4089,3241557
Bethel University,M,2669,1362,637,2,49,835,1015,17,22,1665,51,47,15714,4.130177682,Tennessee,SE,1,0,T,6634,5282,80,1352,5124,1510,77,11,94,84,0,518,4,2772225,2601,2209,6400,5929,121,8836,268324,39886,18315,7520,102,22,188,1036,78255,133200,128205,561,3619,24346,880,48692
